,source activity,true energy pairs,true energy + pol pairs,true pol pairs
0,10000000.0,9908.0,9833.0,10299.0
1,13990503.141372928,9876.0,9822.0,10317.0
2,19573417.814876616,9819.0,9775.0,10192.0
3,27384196.34264361,9940.0,9891.0,10361.0
4,38311868.49557285,9917.0,9890.0,10378.0
5,53600231.65391796,9901.0,9900.0,10379.0
6,74989420.93324558,9765.0,9816.0,10267.0
7,104913972.91363113,9768.0,9853.0,10306.0
8,146779926.76220676,9415.0,9600.0,10041.0
9,205352502.6457146,9481.0,9783.0,10220.0
10,287298483.33536685,9282.0,9681.0,10152.0
11,401945033.36151195,8625.0,9255.0,9687.0
12,562341325.1903491,8432.0,9212.0,9617.0
13,786743807.659941,7763.0,8868.0,9289.0
14,1100694171.2522125,7100.0,8532.0,8926.0
15,1539926526.0594919,6355.0,8265.0,8579.0
16,2154434690.0318866,5203.0,7427.0,7728.0
17,3014162529.877398,4065.0,6818.0,7073.0
18,4216965034.2858224,3046.0,6044.0,6255.0
19,5899746255.923572,2000.0,5134.0,5299.0
20,8254041852.680206,1112.0,4088.0,4215.0
21,11547819846.894583,528.0,3154.0,3231.0
22,16155980984.398762,189.0,2193.0,2235.0
23,22603030271.419262,54.0,1466.0,1460.0
24,31622776601.683792,2.0,948.0,955.0
